doi,doi + link,pdf?,Ref,double-checked,name,AA,AA_location,temper,temper_location,size,dir,YS [MPa],YS [MPa]_location,UTS [MPa],UTS [MPa]_location,elong [%],elong [%]_location,Hardness,Hardness_location,Hardness UNIT,Hardness UNIT_location,Has comp [True / False / nominal],Has comp [True / False / nominal]_location,Cu,Cu_location,Mn,Mn_location,Si,Si_location,Mg,Mg_location,Zn,Zn_location,Cr,Cr_location,Fe,Fe_location,Ti,Ti_location,Zr,Zr_location,Ag,Ag_location,Be,Be_location,Bi,Bi_location,C,C_location,Ca,Ca_location,Ce,Ce_location,Er,Er_location,Ga,Ga_location,Ge,Ge_location,Hf,Hf_location,La,La_location,Li,Li_location,Ni,Ni_location,P,P_location,Pb,Pb_location,Sc,Sc_location,Sn,Sn_location,Sr,Sr_location,V,V_location,Yb,Yb_location,Other properties / data,Microstructure [None / OM / SEM / EBSD / TEM / APT],doi,Pfeiffer_no,series,who added,Notes,article_type,journal,publisher,included_in_dataset,pdf,xml
10.1007/s11661-016-3332-y,10.1007/s11661-016-3332-y,,Venugopal2016,TRUE,LT,2219,,T87,,,LT,376,,459,,11.6,,,,,,TRUE,,5.95,,0.27,,0.05,,,,0.02,,,,0.12,,0.06,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,10.1007/s11661-016-3332-y,148,2000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1016/j.matdes.2016.08.004,10.1016/j.matdes.2016.08.004,Y,Yan2016,TRUE,L-T,2524,,,,2,,319,,464,,20.1,,,,,,TRUE,,4.19,,0.55,,0.02,,1.42,,0.025,,,,0.11,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fatigue,OM/EDS/EBSD/TEM,10.1016/j.matdes.2016.08.004,154,2000,,,journal_article,Materials & Design,Elsevier BV,TRUE,FALSE,FALSE
10.1016/s0921-5093(00)01912-2,10.1016/s0921-5093(00)01912-2,Y,Srivatsan2001,TRUE,27,2524,,T351,,12.5,L,372,,469,,27,,,,,,TRUE,,4.315,,0.575,,0.036,,1.395,,0.008,,,,0.0825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fatigue,OM/TEM,10.1016/s0921-5093(00)01912-2,157,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/s0921-5093(00)01912-2,10.1016/s0921-5093(00)01912-2,Y,Srivatsan2001,TRUE,27,2524,,T351,,12.5,T,324,,489,,21,,,,,,TRUE,,4.315,,0.575,,0.036,,1.395,,0.008,,,,0.0825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fatigue,OM/TEM,10.1016/s0921-5093(00)01912-2,157,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2014.12.002,10.1016/j.msea.2014.12.002,Y,Elgallad2015,TRUE,W2,2219,,,,,,300,,375,,3.6,,80,table,HRB,,TRUE,,6.02,,0.27,,0.03,,,,0.042,,,,0.11,,0.043,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,TEM,10.1016/j.msea.2014.12.002,161,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2014.12.002,10.1016/j.msea.2014.12.002,Y,Elgallad2015,TRUE,A2,2219,,,,,,120,,265,,6.2,,48,table,HRB,,TRUE,,6.02,,0.27,,0.03,,,,0.042,,,,0.11,,0.043,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,TEM,10.1016/j.msea.2014.12.002,162,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2014.12.002,10.1016/j.msea.2014.12.002,Y,Elgallad2015,TRUE,A6,2219,,,,,,155,,290,,5.3,,57,table,HRB,,TRUE,,6.02,,0.27,,0.03,,,,0.042,,,,0.11,,0.043,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,TEM,10.1016/j.msea.2014.12.002,163,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2014.12.002,10.1016/j.msea.2014.12.002,Y,Elgallad2015,TRUE,A9,2219,,,,,,175,,305,,4.5,,61,table,HRB,,TRUE,,6.02,,0.27,,0.03,,,,0.042,,,,0.11,,0.043,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,TEM,10.1016/j.msea.2014.12.002,164,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2011.11.025,10.1016/j.msea.2011.11.025,Y,Chen2012,TRUE,Al-Cu-Mn,,,,,,,114,,224,,7.2,,,,,,TRUE,,5,,0.98,,0.02,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEM,10.1016/j.msea.2011.11.025,166,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2011.11.025,10.1016/j.msea.2011.11.025,Y,Chen2012,TRUE,Al-Cu-Mn-Ce,,,,,,,76.7,,182.9,,5.4,,,,,,TRUE,,4.96,,1,,0.02,,,,,,,,0.05,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEM,10.1016/j.msea.2011.11.025,167,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2014.10.029,10.1016/j.msea.2014.10.029,Y,DaXiang2015,TRUE,T8,2519,,T8,,,,467.7,,520.3,,8.8,,,,,,TRUE,,5.8,,0.3,,0.1,,0.2,,,,,,0.2,,0.05,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,hoppy-bar,,10.1016/j.msea.2014.10.029,168,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2014.10.029,10.1016/j.msea.2014.10.029,Y,DaXiang2015,TRUE,T9,2519,,T9,,,,492.6,,533.4,,8.5,,,,,,TRUE,,5.8,,0.3,,0.1,,0.2,,,,,,0.2,,0.05,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,hoppy-bar,,10.1016/j.msea.2014.10.029,169,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2013.08.001,10.1016/j.msea.2013.08.001,Y,Nayan2013,TRUE,L,2195,,T87,,,L,557,,591,,9,,,,,,TRUE,,4.2,,,,0.1,,0.35,,,,,,0.15,,,,0.15,,0.35,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,cryo tension,,10.1016/j.msea.2013.08.001,170,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2013.08.001,10.1016/j.msea.2013.08.001,Y,Nayan2013,TRUE,LT,2195,,T87,,,LT,521,,558,,7,,,,,,TRUE,,4.2,,,,0.1,,0.35,,,,,,0.15,,,,0.15,,0.35,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,cryo tension,,10.1016/j.msea.2013.08.001,171,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2007.02.100,10.1016/j.msea.2007.02.100,Y,Sriv2007,TRUE,1,2024,,T8,,,,445,,476,,8.84,,79.5,table,HRB,,TRUE,,4.45,,0.71,,0.5,,1.36,,0.2,,,,0.5,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FSW,OIM,10.1016/j.msea.2007.02.100,176,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2015.04.104,10.1016/j.msea.2015.04.104,Y,Liu2015,TRUE,7B85,,,T6,,,,520,,578,,,,,,,,TRUE,,1.4,,,,,,1.7,,7.5,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAXS,TEM,10.1016/j.msea.2015.04.104,183,7000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2015.04.104,10.1016/j.msea.2015.04.104,Y,Liu2015,TRUE,7050,7050,,T6,,,,540,,620,,,,,,,,TRUE,,2.16,,,,,,2.23,,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAXS,TEM,10.1016/j.msea.2015.04.104,184,7000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2015.04.104,10.1016/j.msea.2015.04.104,Y,Liu2015,TRUE,7B04,,,T6,,,,577,,645,,,,,,,,TRUE,,1.58,,,,,,2.88,,6.23,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAXS,TEM,10.1016/j.msea.2015.04.104,185,7000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2015.04.104,10.1016/j.msea.2015.04.104,Y,Liu2015,TRUE,7150,7150,,T6,,,,582,,660,,,,,,,,TRUE,,2.1,,,,,,2.25,,6.56,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAXS,TEM,10.1016/j.msea.2015.04.104,186,7000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2015.04.104,10.1016/j.msea.2015.04.104,Y,Liu2015,TRUE,7055,7055,,T6,,,,595,,673,,,,,,,,TRUE,,2.16,,,,,,2.05,,8.3,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAXS,TEM,10.1016/j.msea.2015.04.104,187,7000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2015.04.104,10.1016/j.msea.2015.04.104,Y,Liu2015,TRUE,7A93,,,T6,,,,770,,795,,,,,,,,TRUE,,1.8,,,,,,2.9,,10.8,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAXS,TEM,10.1016/j.msea.2015.04.104,188,7000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2014.12.026,10.1016/j.msea.2014.12.026,Y,Qin2015,TRUE,Longitudinal,2195,,T8,,,,500,,560,,12.7,,,,,,TRUE,,3.99,,,,,,0.38,,,,,,0.17,,,,0.1,,0.42,,,,,,,,,,,,,,,,,,,,,,1.09,,,,,,,,,,,,,,,,,,FSW,TEM,10.1016/j.msea.2014.12.026,207,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2004.10.014,10.1016/j.msea.2004.10.014,Y,Kuo2005,TRUE,AA2024-T3,2024,,T3,,,,354,,485,,17,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fracture,,10.1016/j.msea.2004.10.014,211,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2004.10.014,10.1016/j.msea.2004.10.014,Y,Kuo2005,TRUE,AA2024-T81,2024,,T81,,,,450,,485,,7,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fracture,,10.1016/j.msea.2004.10.014,212,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2008.07.033,10.1016/j.msea.2008.07.033,Y,Sriv2008,TRUE,1,2219,,T62,,,,275.8,,410.9,,8.8,,67,table,HRB,,TRUE,,6.4,,0.3,,,,,,,,0.18,,0.06,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OIM,10.1016/j.msea.2008.07.033,213,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2008.07.033,10.1016/j.msea.2008.07.033,Y,Sriv2008,TRUE,2,2219,,T62,,,,283.3,,415.6,,6.4,,67,table,HRB,,TRUE,,6.4,,0.3,,,,,,,,0.18,,0.06,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OIM,10.1016/j.msea.2008.07.033,214,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2008.07.033,10.1016/j.msea.2008.07.033,Y,Sriv2008,TRUE,Average,2219,,T62,,,,279.6,,413.3,,7.6,,67,table,HRB,,TRUE,,6.4,,0.3,,,,,,,,0.18,,0.06,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OIM,10.1016/j.msea.2008.07.033,215,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2006.07.169,10.1016/j.msea.2006.07.169,Y,Ludian2007,TRUE,As-extruded,2024,,,,,,175,,295,,14.5,,85,table,HV,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fatigue, surface treatment",OIM,10.1016/j.msea.2006.07.169,224,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2006.07.169,10.1016/j.msea.2006.07.169,Y,Ludian2007,TRUE,T4,2024,,T4,,,,415,,595,,17,,165,table,HV,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fatigue, surface treatment",OIM,10.1016/j.msea.2006.07.169,225,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2006.07.169,10.1016/j.msea.2006.07.169,Y,Ludian2007,TRUE,T6,2024,,T6,,,,370,,460,,11.5,,152,table,HV,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fatigue, surface treatment",OIM,10.1016/j.msea.2006.07.169,226,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jmatprotec.2016.06.021,10.1016/j.jmatprotec.2016.06.021,Y,Zhang2016,TRUE,LT,2060,,T8,,,,428,,499,,14.3,,152,table,HV,,nominal,,3.8,,0.3,,,,0.85,,0.375,,,,,,,,0.11,,0.3,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,welding,OIM,10.1016/j.jmatprotec.2016.06.021,240,2000,,,journal_article,Journal of Materials Processing Technology,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jmatprotec.2016.06.021,10.1016/j.jmatprotec.2016.06.021,Y,Zhang2016,TRUE,TL,2060,,T8,,,,414,,498,,14,,,,,,nominal,,3.8,,0.3,,,,0.85,,0.375,,,,,,,,0.11,,0.3,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,welding,OIM,10.1016/j.jmatprotec.2016.06.021,241,2000,,,journal_article,Journal of Materials Processing Technology,Elsevier BV,TRUE,FALSE,FALSE
10.1016/s0924-0136(03)00806-9,10.1016/s0924-0136(03)00806-9,Y,LiuFujii2003,TRUE,Balance,2017,,T351,,5mm,,319.2,,428.1,,23.8,,,,,,TRUE,,4.29,,0.58,,0.52,,0.6,,0.08,,0.02,,0.29,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FSW,,10.1016/s0924-0136(03)00806-9,250,2000,,,journal_article,Journal of Materials Processing Technology,Elsevier BV,TRUE,FALSE,FALSE
10.1007/s11665-011-0060-8,10.1007/s11665-011-0060-8,,Zhang2012,TRUE,Bal.,2219,,T6,,7.5mm,,,,432,,,,,,,,TRUE,,6.48,,0.32,,0.49,,,,0.04,,,,0.23,,0.06,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,FSW,,10.1007/s11665-011-0060-8,251,2000,,,journal_article,Journal of Materials Engineering and Performance,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1007/s11665-014-0875-1,10.1007/s11665-014-0875-1,,Vidal2014,TRUE,383.8,2024,,T351,,4mm,,383.8,,533.8,,22,,,,,,nominal,,6.2,,0.55,,,,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FSW,,10.1007/s11665-014-0875-1,252,2000,,,journal_article,Journal of Materials Engineering and Performance,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1016/j.jmatprotec.2017.12.042,10.1016/j.jmatprotec.2017.12.042,Y,Khan2018,TRUE,Solution treated (ST),2219,,,,,,43,,182,,,,,,,,nominal,,6.3,,0.3,,,,,,0.175,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,formability,,10.1016/j.jmatprotec.2017.12.042,254,2000,,,journal_article,Journal of Materials Processing Technology,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jmatprotec.2017.12.042,10.1016/j.jmatprotec.2017.12.042,Y,Khan2018,TRUE,Age hardened (T6),2219,,T6,,,,302,,397.7,,,,,,,,nominal,,6.3,,0.3,,,,,,0.175,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,formability,,10.1016/j.jmatprotec.2017.12.042,255,2000,,,journal_article,Journal of Materials Processing Technology,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jmatprotec.2018.01.010,10.1016/j.jmatprotec.2018.01.010,Y,LiuHu2018,TRUE,6.48,2219,,T6,,,,,,432,,11,,,,,,TRUE,,6.48,,0.32,,0.49,,,,0.04,,,,0.23,,0.06,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,FSW,,10.1016/j.jmatprotec.2018.01.010,256,2000,,,journal_article,Journal of Materials Processing Technology,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.commatsci.2010.06.018,10.1016/j.commatsci.2010.06.018,Y,Khan2010,TRUE,68,2024,,T351,,,,360,,478,,20,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nanoindentation,,10.1016/j.commatsci.2010.06.018,266,2000,,,journal_article,Computational Materials Science,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2016.05.247,10.1016/j.jallcom.2016.05.247,Y,Liu2016,TRUE,0.4 wt%Mg,,,,,3mm,,421,,459,,10.1,,143,text,HV,,TRUE,,5.3,,0.3,,,,0.4,,,,,,,,,,0.15,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corrosion,"OM, TEM",10.1016/j.jallcom.2016.05.247,273,2000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2016.05.247,10.1016/j.jallcom.2016.05.247,Y,Liu2016,TRUE,0.8 wt%Mg,,,,,3mm,,433,,487,,9.7,,157,text,HV,,TRUE,,5.3,,0.3,,,,0.8,,,,,,,,,,0.15,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corrosion,"OM, TEM",10.1016/j.jallcom.2016.05.247,275,2000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2016.05.247,10.1016/j.jallcom.2016.05.247,Y,Liu2016,TRUE,1.2 wt%Mg,,,,,3mm,,391,,486,,11,,153.9504563,plot,HV,,TRUE,,5.3,,0.3,,,,1.2,,,,,,,,,,0.15,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corrosion,"OM, TEM",10.1016/j.jallcom.2016.05.247,277,2000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2016.05.317,10.1016/j.jallcom.2016.05.317,Y,Shen2016,TRUE,Sample 1-1,2524,,,,,,368,,506,,19.8,,,,,,TRUE,,4.45,,0.66,,0.03,,1.48,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEM, TEM",10.1016/j.jallcom.2016.05.317,280,2000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2016.05.317,10.1016/j.jallcom.2016.05.317,Y,Shen2016,TRUE,Sample 1-2,2524,,,,,,378,,512,,21.7,,,,,,TRUE,,4.45,,0.66,,0.03,,1.48,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEM, TEM",10.1016/j.jallcom.2016.05.317,281,2000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2016.05.317,10.1016/j.jallcom.2016.05.317,Y,Shen2016,TRUE,Sample 1-3,2524,,,,,,351,,498,,18.4,,,,,,TRUE,,4.45,,0.66,,0.03,,1.48,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEM, TEM",10.1016/j.jallcom.2016.05.317,282,2000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2009.10.185,10.1016/j.jallcom.2009.10.185,Y,Wang2010,TRUE,2519A,2519,,T8,,2mm,L,,,483.2,,10.8,,158.490566,plot,HV,,Nominal,,5.8,,0.3,,,,0.2,,,,,,,,0.05,,0.2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEM,10.1016/j.jallcom.2009.10.185,285,2000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2009.10.185,10.1016/j.jallcom.2009.10.185,Y,Wang2010,TRUE,2519A-0.2Ce,2519,,T8,,2mm,L,,,493,,10.7,,160.3,text,HV,,Nominal,,5.8,,0.3,,,,0.2,,,,,,,,0.05,,0.2,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEM,10.1016/j.jallcom.2009.10.185,287,2000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2009.10.185,10.1016/j.jallcom.2009.10.185,Y,Wang2010,TRUE,2519A-0.4Ce,2519,,T8,,2mm,L,,,447.7,,12.3,,153.7880987,plot,HV,,Nominal,,5.8,,0.3,,,,0.2,,,,,,,,0.05,,0.2,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEM,10.1016/j.jallcom.2009.10.185,289,2000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2013.09.202,10.1016/j.jallcom.2013.09.202,Y,Goodarzy2014,TRUE,T4,2024,,T4,,,,385,,552,,11.8,,,,,,TRUE,,4.2,,0.63,,0.29,,1.26,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM,10.1016/j.jallcom.2013.09.202,298,2000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2013.09.202,10.1016/j.jallcom.2013.09.202,Y,Goodarzy2014,TRUE,T6,2024,,T6,,,,414,,578,,15.8,,154.3766387,plot,HV,,TRUE,,4.2,,0.63,,0.29,,1.26,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM,10.1016/j.jallcom.2013.09.202,299,2000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2013.09.202,10.1016/j.jallcom.2013.09.202,Y,Goodarzy2014,TRUE,T8,2024,,T8,,,,485,,574,,11.9,,,,,,TRUE,,4.2,,0.63,,0.29,,1.26,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEM,10.1016/j.jallcom.2013.09.202,300,2000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2017.12.045,10.1016/j.jallcom.2017.12.045,Y,Suresh2018,TRUE,AA2195,2195,,,,,,443,,524,,12.1,,145,table,HV,,nominal,,4,,,,,,0.4,,,,,,,,,,0.12,,0.4,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,0,,,,,,,,,,,"OM, TEM, EBSD",10.1016/j.jallcom.2017.12.045,304,2000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2017.12.045,10.1016/j.jallcom.2017.12.045,Y,Suresh2018,TRUE,AA2195-0.025Sc,2195,,,,,,485,,586,,10.3,,163,table,HV,,nominal,,4,,,,,,0.4,,,,,,,,,,0.12,,0.4,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,0.025,,,,,,,,,,,"OM, TEM, EBSD",10.1016/j.jallcom.2017.12.045,305,2000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2017.12.045,10.1016/j.jallcom.2017.12.045,Y,Suresh2018,TRUE,AA2195-0.25Sc,2195,,,,,,536,,634,,9.2,,176,table,HV,,nominal,,4,,,,,,0.4,,,,,,,,,,0.12,,0.4,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,0.25,,,,,,,,,,,"OM, TEM, EBSD",10.1016/j.jallcom.2017.12.045,306,2000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2013.08.214,10.1016/j.jallcom.2013.08.214,Y,Feng2014,TRUE,Al-4Cu-1.3Mg,,,,,,,310,,385,,9,,128.8162942,plot,HV,,TRUE,,4,,,,0,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEM,10.1016/j.jallcom.2013.08.214,307,2000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2013.08.214,10.1016/j.jallcom.2013.08.214,Y,Feng2014,TRUE,Al-4Cu-1.3Mg-0.3Si,,,,,,,394,,430,,6.8,,145.2208521,plot,HV,,TRUE,,4,,,,0.3,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEM,10.1016/j.jallcom.2013.08.214,308,2000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
